fill	x	y	showSelected1	showSelected2
#F8766D	1	4.71335852927624	1	A
#F8766D	1	3.44636365707409	1	A
#F8766D	1	5.37282099271425	1	A
#F8766D	1	4.81287857226339	1	A
#F8766D	1	5.27210736801552	1	A
#00BA38	2	9.09714502125719	1	B
#00BA38	2	9.50408095407267	1	B
#00BA38	2	9.5923470839778	1	B
#00BA38	2	10.374320874221	1	B
#00BA38	2	8.72893497861798	1	B
#619CFF	3	14.7519667343985	1	C
#619CFF	3	14.8215361375436	1	C
#619CFF	3	14.8474542267024	1	C
#619CFF	3	15.5336850083572	1	C
#619CFF	3	15.5227206281037	1	C
#F8766D	1	5.99038892010019	2	A
#F8766D	1	3.89923373786379	2	A
#F8766D	1	4.71335852927624	2	A
#F8766D	1	5.88950019727232	2	A
#F8766D	1	4.77159379631268	2	A
#00BA38	2	9.42257865508196	2	B
#00BA38	2	10.7603011424391	2	B
#00BA38	2	8.72893497861798	2	B
#00BA38	2	10.760383157988	2	B
#00BA38	2	7.16062383309111	2	B
#619CFF	3	15.4640493820463	2	C
#619CFF	3	14.8474542267024	2	C
#619CFF	3	14.8215361375436	2	C
#619CFF	3	15.4178235949281	2	C
#619CFF	3	14.7519667343985	2	C
#F8766D	1	5.88950019727232	3	A
#F8766D	1	4.69604169285067	3	A
#F8766D	1	5.66647056233911	3	A
#F8766D	1	4.50312605252922	3	A
#F8766D	1	4.83875145516074	3	A
#00BA38	2	9.73065186903568	3	B
#00BA38	2	11.0450936391281	3	B
#00BA38	2	10.7345129274607	3	B
#00BA38	2	9.50408095407267	3	B
#00BA38	2	9.42257865508196	3	B
#619CFF	3	15.4178235949281	3	C
#619CFF	3	13.8126193451429	3	C
#619CFF	3	15.7462015267358	3	C
#619CFF	3	15.5336850083572	3	C
#619CFF	3	15.5227206281037	3	C
#F8766D	1	5.86969128321855	4	A
#F8766D	1	5.32640267177958	4	A
#F8766D	1	4.81287857226339	4	A
#F8766D	1	4.50312605252922	4	A
#F8766D	1	3.89923373786379	4	A
#00BA38	2	9.83099001278518	4	B
#00BA38	2	8.72893497861798	4	B
#00BA38	2	11.0450936391281	4	B
#00BA38	2	10.4025749061831	4	B
#00BA38	2	9.5923470839778	4	B
#619CFF	3	15.4640493820463	4	C
#619CFF	3	15.091230160107	4	C
#619CFF	3	14.4919758292342	4	C
#619CFF	3	15.5336850083572	4	C
#619CFF	3	15.9156102257648	4	C
#F8766D	1	3.09655358047668	5	A
#F8766D	1	5.27210736801552	5	A
#F8766D	1	4.7853880279355	5	A
#F8766D	1	6.28052092659646	5	A
#F8766D	1	4.50312605252922	5	A
#00BA38	2	10.1273836083064	5	B
#00BA38	2	10.374320874221	5	B
#00BA38	2	9.65419797478324	5	B
#00BA38	2	9.73065186903568	5	B
#00BA38	2	9.74603386633103	5	B
#619CFF	3	14.8215361375436	5	C
#619CFF	3	15.5227206281037	5	C
#619CFF	3	16.7967118556211	5	C
#619CFF	3	14.7519667343985	5	C
#619CFF	3	15.3784604125333	5	C
#F8766D	1	5.37282099271425	6	A
#F8766D	1	5.86969128321855	6	A
#F8766D	1	5.27210736801552	6	A
#F8766D	1	5.99038892010019	6	A
#F8766D	1	4.7853880279355	6	A
#00BA38	2	9.50408095407267	6	B
#00BA38	2	10.374320874221	6	B
#00BA38	2	9.09714502125719	6	B
#00BA38	2	8.72893497861798	6	B
#00BA38	2	10.760383157988	6	B
#619CFF	3	16.304961544449	6	C
#619CFF	3	13.8126193451429	6	C
#619CFF	3	15.278374001553	6	C
#619CFF	3	13.8442006147204	6	C
#619CFF	3	15.3686046357117	6	C
#F8766D	1	5.88950019727232	7	A
#F8766D	1	4.81287857226339	7	A
#F8766D	1	4.7853880279355	7	A
#F8766D	1	5.32640267177958	7	A
#F8766D	1	4.77159379631268	7	A
#00BA38	2	10.1273836083064	7	B
#00BA38	2	9.74603386633103	7	B
#00BA38	2	10.7603011424391	7	B
#00BA38	2	11.0450936391281	7	B
#00BA38	2	10.760383157988	7	B
#619CFF	3	15.2790770377861	7	C
#619CFF	3	15.6820994967397	7	C
#619CFF	3	16.304961544449	7	C
#619CFF	3	15.9156102257648	7	C
#619CFF	3	15.4640493820463	7	C
#F8766D	1	4.83875145516074	8	A
#F8766D	1	6.28052092659646	8	A
#F8766D	1	3.89923373786379	8	A
#F8766D	1	7.18417322839228	8	A
#F8766D	1	5.99038892010019	8	A
#00BA38	2	9.09714502125719	8	B
#00BA38	2	10.760383157988	8	B
#00BA38	2	10.4025749061831	8	B
#00BA38	2	7.16062383309111	8	B
#00BA38	2	8.7718163806414	8	B
#619CFF	3	16.304961544449	8	C
#619CFF	3	15.3784604125333	8	C
#619CFF	3	13.8442006147204	8	C
#619CFF	3	15.4640493820463	8	C
#619CFF	3	15.091230160107	8	C
#F8766D	1	3.44636365707409	9	A
#F8766D	1	4.69604169285067	9	A
#F8766D	1	5.27210736801552	9	A
#F8766D	1	3.89923373786379	9	A
#F8766D	1	6.28052092659646	9	A
#00BA38	2	9.5923470839778	9	B
#00BA38	2	8.72893497861798	9	B
#00BA38	2	10.4025749061831	9	B
#00BA38	2	9.73065186903568	9	B
#00BA38	2	9.50408095407267	9	B
#619CFF	3	14.8474542267024	9	C
#619CFF	3	14.8215361375436	9	C
#619CFF	3	13.8442006147204	9	C
#619CFF	3	13.8126193451429	9	C
#619CFF	3	16.7967118556211	9	C
#F8766D	1	5.66647056233911	10	A
#F8766D	1	4.77159379631268	10	A
#F8766D	1	6.28052092659646	10	A
#F8766D	1	4.69604169285067	10	A
#F8766D	1	5.86969128321855	10	A
#00BA38	2	9.09714502125719	10	B
#00BA38	2	11.4272117229534	10	B
#00BA38	2	10.7603011424391	10	B
#00BA38	2	10.1273836083064	10	B
#00BA38	2	9.73065186903568	10	B
#619CFF	3	15.6820994967397	10	C
#619CFF	3	15.4640493820463	10	C
